Model,RMSE (Train),RMSE (Test),R2 (Train),R2 (Test),Overfitting
Lasso (alpha=1.0),17.526752186009727,39.24174010443469,0.986995409488718,0.9219965389183344,2.3308703069000027
Ridge (alpha=1.0),14.34060677873289,48.53983499696969,0.9914498552925676,0.8966770029403964,3.6708680860473692
Linear Regression,14.15160949491496,50.84476513731279,0.9926419857884868,0.897457174631958,4.377090065075454
LightGBM,34.66375277519838,89.16870093688522,0.9597455112560263,0.5998497795349202,3.1278524903717253
XGBoost,0.00039481935221716817,123.27699174648929,0.9999999999938884,0.37227307606990956,286562.8890825268
