Model,Train Time (s),Inference Time (s),RMSE,MAE,R2 Score
Lasso,0.0010175704956054688,0.00018453598022460938,10.355891483290767,8.23779089417634,0.8850251526233452
Ridge,0.0013270378112792969,0.00032591819763183594,10.42613605663569,8.269753863989347,0.8845286805908679
Linear Regression,0.0010266304016113281,0.0002472400665283203,10.426742428088149,8.270015295859928,0.884524100430279
XGBoost,0.06365180015563965,0.0057141780853271484,55.815896380196016,47.43469048142682,-2.335852987572213
LightGBM,0.021082162857055664,0.00370025634765625,62.38509665069189,54.94374945799693,-3.145741154722777
