Model,Train Time (s),Inference Time (s),Accuracy,F1 Score,ROC AUC
Logistic Regression (L1),0.02636885643005371,0.024442434310913086,0.7666666666666667,0.575,0.7796296296296296
Logistic Regression (L2),0.016155242919921875,0.020632266998291016,0.7666666666666667,0.5751633986928104,0.7753439153439153
LightGBM,0.07084345817565918,0.013946294784545898,0.7566666666666667,0.535031847133758,0.7713756613756614
XGBoost,0.14023566246032715,0.02449178695678711,0.74,0.5142857142857142,0.7646560846560846
