Model,Train Time (s),Inference Time (s),RMSE,MAE,R2 Score,SHAP Time (s)
Linear Regression,0.01251363754272461,0.0030934810638427734,25.45600198891122,20.407490352207827,0.003475203278581751,0.0032291412353515625
Ridge,0.012609481811523438,0.003718852996826172,25.468680707254993,20.39488495210113,0.0028244142256512728,0.0022156238555908203
Lasso,0.004145383834838867,0.006215572357177734,25.511937569109822,20.42198725348012,-0.0007449624769289009,0.0013358592987060547
LightGBM,0.2734866142272949,0.005251884460449219,25.80150461617184,20.578582931055983,-0.033491355534328804,5.04839301109314
XGBoost,0.4842672348022461,0.014124870300292969,27.329993545721155,21.8521900568271,-0.16551845884741812,6.611100673675537
